	Similarity Measure, Method, k, MAE, MAE_NA, %NA
LiRa - Uniform,    kNN, 60, 0.7525783, 0.7132085, 0.0523132
LiRa - Gaussian,    kNN, 60, 0.7453743, 0.7137734, 0.0423960
LiRa - LogGaussian,    kNN, 60, 0.7453743, 0.7137734, 0.0423960
Cosine Similarity, NN-RST, 80, 0.7417455, 0.7104824, 0.0421481
Pearson Correlation - PWC, NN-RST, 80, 1.3040262, 1.2483528, 0.0426935
Pearson Correlation - IZ, NN-RST, 80, 1.3959584, 1.3371906, 0.0420985
LiRa - Uniform, NN-RST, 80, 0.7546809, 0.7151637, 0.0523628
LiRa - Gaussian, NN-RST, 80, 0.7399214, 0.7085517, 0.0423960
LiRa - LogGaussian, NN-RST, 80, 1.2547853, 1.2015875, 0.0423960
Cosine Similarity,    kNN, 80, 0.7473398, 0.7158779, 0.0420985
Pearson Correlation - PWC,    kNN, 80, 0.7469269,  0.715075, 0.0426439
Pearson Correlation - IZ,    kNN, 80, 0.7472052,  0.715749, 0.0420985
LiRa - Uniform,    kNN, 80,  0.752903, 0.7135163, 0.0523132
LiRa - Gaussian,    kNN, 80, 0.7465706,  0.714919, 0.0423960
LiRa - LogGaussian,    kNN, 80, 0.7465706,  0.714919, 0.0423960
Cosine Similarity, NN-RST, 160, 0.7421856, 0.7109039, 0.0421481
Pearson Correlation - PWC, NN-RST, 160, 1.4636972, 1.4012068, 0.0426935
Pearson Correlation - IZ, NN-RST, 160, 1.3971033, 1.3382874, 0.0420985
LiRa - Uniform, NN-RST, 160, 0.7547747, 0.7152526, 0.0523628
LiRa - Gaussian, NN-RST, 160, 0.7401783, 0.7087977, 0.0423960
LiRa - LogGaussian, NN-RST, 160, 1.3424045, 1.2854919, 0.0423960
Cosine Similarity,    kNN, 160,  0.748614, 0.7170985, 0.0420985
Pearson Correlation - PWC,    kNN, 160, 0.7485897, 0.7166669, 0.0426439
Pearson Correlation - IZ,    kNN, 160, 0.7486124,  0.717097, 0.0420985
LiRa - Uniform,    kNN, 160, 0.7533019, 0.7138943, 0.0523132
LiRa - Gaussian,    kNN, 160, 0.7482414,  0.716519, 0.0423960
LiRa - LogGaussian,    kNN, 160, 0.7482414,  0.716519, 0.0423960
Cosine Similarity, NN-RST, 3, 0.7957864, 0.7654813, 0.0380820
Pearson Correlation - PWC, NN-RST, 3, 0.8739591, 0.8402869, 0.0385283
Pearson Correlation - IZ, NN-RST, 3, 1.2812302, 1.2325019, 0.0380324
LiRa - Uniform, NN-RST, 3, 0.8144863, 0.7743819, 0.0492389
LiRa - Gaussian, NN-RST, 3, 0.8034527, 0.7726963, 0.0382804
LiRa - LogGaussian, NN-RST, 3, 0.8928368, 0.8586587, 0.0382804
Cosine Similarity,    kNN, 3, 0.7941924, 0.7639874, 0.0380324
Pearson Correlation - PWC,    kNN, 3, 0.8139945,  0.782673, 0.0384787
Pearson Correlation - IZ,    kNN, 3, 0.7984364, 0.7680699, 0.0380324
LiRa - Uniform,    kNN, 3, 0.8128944, 0.7729087, 0.0491893
LiRa - Gaussian,    kNN, 3, 0.7919309, 0.7616155, 0.0382804
LiRa - LogGaussian,    kNN, 3, 0.7919309, 0.7616155, 0.0382804
Cosine Similarity, NN-RST, 5, 0.7665248,  0.737334, 0.0380820
Pearson Correlation - PWC, NN-RST, 5,  0.856932, 0.8239159, 0.0385283
Pearson Correlation - IZ, NN-RST, 5, 1.3215952, 1.2713317, 0.0380324
LiRa - Uniform, NN-RST, 5, 0.7880318,   0.74923, 0.0492389
LiRa - Gaussian, NN-RST, 5,   0.77271, 0.7431304, 0.0382804
LiRa - LogGaussian, NN-RST, 5, 0.8929906, 0.8588066, 0.0382804
Cosine Similarity,    kNN, 5, 0.7659875, 0.7368552, 0.0380324
Pearson Correlation - PWC,    kNN, 5, 0.7717592, 0.7420629, 0.0384787
Pearson Correlation - IZ,    kNN, 5, 0.7662917, 0.7371477, 0.0380324
LiRa - Uniform,    kNN, 5, 0.7862751, 0.7475988, 0.0491893
LiRa - Gaussian,    kNN, 5, 0.7632139, 0.7339978, 0.0382804
LiRa - LogGaussian,    kNN, 5, 0.7632139, 0.7339978, 0.0382804
Cosine Similarity, NN-RST, 7, 0.7536993, 0.7249969, 0.0380820
Pearson Correlation - PWC, NN-RST, 7, 0.8679825, 0.8345406, 0.0385283
Pearson Correlation - IZ, NN-RST, 7, 1.3463273, 1.2951232, 0.0380324
LiRa - Uniform, NN-RST, 7, 0.7766514, 0.7384099, 0.0492389
LiRa - Gaussian, NN-RST, 7, 0.7583049, 0.7292767, 0.0382804
LiRa - LogGaussian, NN-RST, 7, 0.9086672,  0.873883, 0.0382804
Cosine Similarity,    kNN, 7, 0.7538026, 0.7251336, 0.0380324
Pearson Correlation - PWC,    kNN, 7, 0.7572837, 0.7281444, 0.0384787
Pearson Correlation - IZ,    kNN, 7, 0.7556141, 0.7268762, 0.0380324
LiRa - Uniform,    kNN, 7, 0.7747715,  0.736661, 0.0491893
LiRa - Gaussian,    kNN, 7,  0.750651, 0.7219158, 0.0382804
LiRa - LogGaussian,    kNN, 7,  0.750651, 0.7219158, 0.0382804
