Similarity,k,error,err_type,nbhd_type
cosine,40,0.9657969964997122,RMSE,unweighted
cosine,50,0.9661381455346387,RMSE,unweighted
cosine,60,0.9664334580853293,RMSE,unweighted
cosine,80,0.9671373653162532,RMSE,unweighted
cosine,160,0.9682994596453097,RMSE,unweighted
lira_gaussian_pc_sd4,3,0.9677170923870971,RMSE,unweighted
lira_gaussian_pc_sd4,5,0.9450916988070064,RMSE,unweighted
lira_gaussian_pc_sd4,7,0.9400319365717225,RMSE,unweighted
lira_gaussian_pc_sd4,10,0.938324238208465,RMSE,unweighted
lira_gaussian_pc_sd4,15,0.9412894823662912,RMSE,unweighted
lira_gaussian_pc_sd4,20,0.9450425136372494,RMSE,unweighted
lira_gaussian_pc_sd4,30,0.9513634782037925,RMSE,unweighted
lira_gaussian_pc_sd4,40,0.9558817701688314,RMSE,unweighted
lira_gaussian_pc_sd4,50,0.9592123263196477,RMSE,unweighted
lira_gaussian_pc_sd4,60,0.9617096778918027,RMSE,unweighted
lira_gaussian_pc_sd4,80,0.9650928798115703,RMSE,unweighted
lira_gaussian_pc_sd4,160,0.9695624057750918,RMSE,unweighted
lira_uniform,3,0.971496366129443,RMSE,unweighted
lira_uniform,5,0.9485325973382056,RMSE,unweighted
lira_uniform,7,0.9426751089540253,RMSE,unweighted
lira_uniform,10,0.9400308181105448,RMSE,unweighted
lira_uniform,15,0.9427355882832554,RMSE,unweighted
lira_uniform,20,0.945863755109745,RMSE,unweighted
lira_uniform,30,0.9519777512714458,RMSE,unweighted
lira_uniform,40,0.9564851382290652,RMSE,unweighted
lira_uniform,50,0.9597021994590083,RMSE,unweighted
lira_uniform,60,0.9620589180958188,RMSE,unweighted
lira_uniform,80,0.9652749353118095,RMSE,unweighted
lira_uniform,160,0.9695788084878265,RMSE,unweighted
pearson_pwc,3,1.0525358674269871,RMSE,unweighted
pearson_pwc,5,1.0052061323901096,RMSE,unweighted
pearson_pwc,7,0.9871615708910557,RMSE,unweighted
pearson_pwc,10,0.9752409641116279,RMSE,unweighted
pearson_pwc,15,0.9672415833563948,RMSE,unweighted
pearson_pwc,20,0.9645239276734876,RMSE,unweighted
pearson_pwc,30,0.963912011573137,RMSE,unweighted
pearson_pwc,40,0.964413922557021,RMSE,unweighted
pearson_pwc,50,0.9650761917330682,RMSE,unweighted
pearson_pwc,60,0.9657921373193006,RMSE,unweighted
pearson_pwc,80,0.9669176333503158,RMSE,unweighted
pearson_pwc,160,0.9685227789120215,RMSE,unweighted
